expected_l0,hidden_dim,toy_seed,superposition_ratio,ev,embedding_mean_cosine,frequency_mae,frequency_pearson,mean_f1
1.5,2,0,12.0,0.9659437032164218,0.9969406960352654,0.08552065821390786,0.43260452446659986,0.10062873558887335
1.5,2,1,12.0,0.9609473456700358,0.9927329151834324,0.0616030020028814,0.6599607564834336,0.12468491976501388
1.5,2,2,12.0,0.9657284939603218,0.993717633730582,0.05260629176391834,0.7320722700679897,0.0937788075638409
1.5,4,0,6.0,0.9593256506824229,0.8916641256369102,0.0665150140693727,0.6577959204078377,0.2956529844539803
1.5,4,1,6.0,0.9598901678813287,0.8601133250280192,0.06523454290708162,0.5932062391937496,0.3151551436514112
1.5,4,2,6.0,0.9606253253097291,0.8867369688886474,0.0513518650490162,0.7820629415325566,0.2691712066515084
1.5,6,0,4.0,0.9555271444085797,0.8725950993047599,0.03359666197244004,0.8127803770090828,0.42605627753070957
1.5,6,1,4.0,0.9548343454286566,0.8465076999442399,0.0290637424282064,0.9245061915433382,0.4389803325161585
1.5,6,2,4.0,0.958233905095208,0.877780613570395,0.0394758573597973,0.8076053156598053,0.43062281124122076
2.5,2,0,12.0,0.9659164600800987,0.996726196237598,0.13829806652426416,0.3690997801511416,0.06528424998711041
2.5,2,1,12.0,0.9608343943120571,0.988892262919088,0.11209237217868677,0.5357201831615807,0.1108836698504365
2.5,2,2,12.0,0.9677556400203967,0.9952446822775517,0.08721093433202413,0.6965977885975954,0.14465780830902636
2.5,4,0,6.0,0.9653960179164892,0.905414917213175,0.10322905395389388,0.6353055960097354,0.24842303739471563
2.5,4,1,6.0,0.9618848387900779,0.9058292275968055,0.1174290372765396,0.4923220878882191,0.29506421955416373
2.5,4,2,6.0,0.9637865476879376,0.9194444652405244,0.0969432956147158,0.5784525737184341,0.28367091951536577
2.5,6,0,4.0,0.9590357748432413,0.8440484731020795,0.07439850494114698,0.7027746069432552,0.37810382589083374
2.5,6,1,4.0,0.958697738066386,0.8679003546403384,0.0730046376050127,0.72870841601101,0.3489924810873854
2.5,6,2,4.0,0.9603921774377012,0.8578460682722665,0.06492540462009287,0.8051199277133041,0.344645097076203
4.0,2,0,12.0,0.9631344381241569,0.9893213391703283,0.17532243943066772,-0.20884132554276102,0.08273012039661538
4.0,2,1,12.0,0.9610024097802015,0.9975414412872897,0.15268083093173523,0.4846430477650891,0.19768221533186395
4.0,2,2,12.0,0.9615850504765713,0.9787406089957548,0.1527401644170668,-0.03014968007156808,0.12053589712004827
4.0,4,0,6.0,0.9621121318226578,0.9288774593262547,0.13133981982066503,0.5635089029584507,0.31338217173119715
4.0,4,1,6.0,0.9621879882196479,0.9585754586152692,0.12142403653259626,0.5794357948616423,0.29608597622100147
4.0,4,2,6.0,0.9630981601600273,0.9111826272131133,0.16559074417355726,0.23708069622551467,0.25871206521848955
4.0,6,0,4.0,0.9636652202050028,0.872604814661685,0.09676317701589976,0.7259666118263947,0.40503856751896467
4.0,6,1,4.0,0.960797139270016,0.8811294266218691,0.09163451715839892,0.699564570908643,0.3987484744009153
4.0,6,2,4.0,0.9621406335516829,0.849874916960606,0.1287499460756867,0.5321878380531649,0.2889392418749101
