num_features,superposition_ratio,seed,mean_abs_cosine,top1_eigen_share,alive_count,head_tail_norm_ratio,norm_prob_corr
12,3.0,0,0.2905484707966736,0.29484527251563286,8.0,4.0509106208086125,0.3746224670477625
12,3.0,1,0.3498255978620732,0.29904301842311065,7.0,50.90201559868298,0.4882637547785057
12,3.0,2,0.3064658561539312,0.3092427935573184,9.0,1.5281777431959267,0.256700464040531
24,6.0,0,0.40789042030117173,0.3001722947726948,9.0,20.48732505436592,0.50600913904005
24,6.0,1,0.39417193925862,0.30368739483198265,9.0,21.519572805698903,0.5177708140408697
24,6.0,2,0.3899159435222346,0.32056565288344313,9.0,20.00564748680012,0.46612013682575776
48,12.0,0,0.42338961808437187,0.3243496056229965,10.0,14.794510886174525,0.5844952738308609
48,12.0,1,0.42301649146692477,0.29906562271599185,11.0,15.987092534535398,0.5805329299068469
48,12.0,2,0.465512318764525,0.29826881761741164,12.0,34.306373389941676,0.5651347528350219
