toy_seed,latent_dim,l1_coeff,ev,latent_density
0,8,0.0,0.9892694591496735,0.75079345703125
0,8,0.01,0.9367720359391642,0.626068115234375
0,8,0.03,0.8972331681832519,0.430267333984375
0,8,0.1,0.7989128970307842,0.35369873046875
0,8,0.3,0.60471335179632,0.16339111328125
0,8,1.0,0.23536485365014104,0.033355712890625
0,12,0.0,0.99314909973124,0.8329671223958334
0,12,0.01,0.9854964975649927,0.4809163411458333
0,12,0.03,0.9617200694044086,0.3772989908854167
0,12,0.1,0.8957145188675757,0.21970621744791666
0,12,0.3,0.7050504602612644,0.1788330078125
0,12,1.0,0.3059006780473106,0.047587076822916664
0,24,0.0,0.9953814860197499,0.4610799153645833
0,24,0.01,0.9845026366484901,0.336181640625
0,24,0.03,0.9632134913299583,0.231414794921875
0,24,0.1,0.8947612553330451,0.16044108072916666
0,24,0.3,0.7053209777279312,0.10882568359375
0,24,1.0,0.32358121473222057,0.033294677734375
0,48,0.0,0.994297881828609,0.3971303304036458
0,48,0.01,0.9855845787049835,0.23528544108072916
0,48,0.03,0.9650625887736225,0.153411865234375
0,48,0.1,0.8873504629454395,0.09636942545572917
0,48,0.3,0.7128194367373728,0.06524658203125
0,48,1.0,0.3249407183346543,0.021723429361979168
1,8,0.0,0.9914398096022005,0.8739013671875
1,8,0.01,0.916690219461318,0.6446533203125
1,8,0.03,0.965712539903142,0.33203125
1,8,0.1,0.8987856757180884,0.243682861328125
1,8,0.3,0.7283824060985626,0.199798583984375
1,8,1.0,0.23155027572773734,0.042205810546875
1,12,0.0,0.9916929674645372,0.8329671223958334
1,12,0.01,0.9825558527171145,0.4585774739583333
1,12,0.03,0.9603238216622834,0.37823486328125
1,12,0.1,0.888969006180061,0.2551676432291667
1,12,0.3,0.7183630778656487,0.19281005859375
1,12,1.0,0.30422788425398894,0.046854654947916664
1,24,0.0,0.9940919149581414,0.5027567545572916
1,24,0.01,0.9853497913571246,0.286102294921875
1,24,0.03,0.9630607933574301,0.21526082356770834
1,24,0.1,0.8907923334647618,0.15575154622395834
1,24,0.3,0.7080098577597649,0.10918172200520833
1,24,1.0,0.3272700038704056,0.03314208984375
1,48,0.0,0.9950841306632195,0.3967692057291667
1,48,0.01,0.9852417908956045,0.21453857421875
1,48,0.03,0.9640599077942813,0.17897542317708334
1,48,0.1,0.8945886105790399,0.10074361165364583
1,48,0.3,0.7128866717923006,0.059422810872395836
1,48,1.0,0.33028411263445656,0.019541422526041668
2,8,0.0,0.9872907225723889,0.750732421875
2,8,0.01,0.9322138830081146,0.57891845703125
2,8,0.03,0.8992027036131183,0.410980224609375
2,8,0.1,0.8014396182257152,0.284149169921875
2,8,0.3,0.6798302051697088,0.258148193359375
2,8,1.0,0.26665206473373737,0.05767822265625
2,12,0.0,0.9952257024671006,0.7503458658854166
2,12,0.01,0.9845428421940273,0.4856974283854167
2,12,0.03,0.9630098123286499,0.3399251302083333
2,12,0.1,0.8847862927889066,0.2912394205729167
2,12,0.3,0.7071050862058366,0.153076171875
2,12,1.0,0.2899760278225345,0.046407063802083336
2,24,0.0,0.9932822796121532,0.5821634928385416
2,24,0.01,0.9860091207183508,0.287872314453125
2,24,0.03,0.9649836258881379,0.186553955078125
2,24,0.1,0.891769100047456,0.13838704427083334
2,24,0.3,0.7098814463819128,0.10633341471354167
2,24,1.0,0.32915410135070045,0.033660888671875
2,48,0.0,0.9970281294441573,0.4356740315755208
2,48,0.01,0.9866288767447321,0.21340433756510416
2,48,0.03,0.9647612500947009,0.16154988606770834
2,48,0.1,0.8891725669324584,0.10491434733072917
2,48,0.3,0.714861601189331,0.07157389322916667
2,48,1.0,0.3325897169188615,0.021474202473958332
