toy_seed,l1_coeff,ev,embedding_mean_cosine,embedding_share_above_0_9,frequency_mae,frequency_pearson,mean_f1
0,0.0,0.9946089605625948,0.8891414584878733,0.5,0.14213805987079006,0.4370252969120608,0.17013432132764109
0,0.01,0.985651920492437,0.902053480801681,0.625,0.12331152451502753,0.5037397203078043,0.27624591159108375
0,0.03,0.9653925421764334,0.8912208657088004,0.625,0.1001897069335284,0.5921842669563576,0.2691844753692987
0,0.1,0.8888161450304489,0.9164914783029855,0.75,0.0852475670746156,0.6800839808712156,0.21986506658526384
0,0.3,0.7151959629427003,0.9095238810563293,0.5416666666666666,0.07122832089524432,0.7006657073779361,0.232889491335566
0,1.0,0.3279297835952777,0.913211340979557,0.5833333333333334,0.08605595298796932,0.3674950582302641,0.1409960348508683
1,0.0,0.9944545589648328,0.8954169755882425,0.4583333333333333,0.1800050388730435,0.5187563931520607,0.211837562863985
1,0.01,0.9851657519545881,0.8848705629820134,0.5,0.13732685781063073,0.45423610504776785,0.3130801103770546
1,0.03,0.9638007417520599,0.8819875496396117,0.5,0.09471090908454677,0.6420361920063138,0.3034567556613188
1,0.1,0.8935487183354288,0.89890344944547,0.5,0.05868066101525828,0.855921514508342,0.2719944977174011
1,0.3,0.7097401279746098,0.8977249497411165,0.5,0.07349619678472792,0.7762393705265782,0.2548714623671842
1,1.0,0.3269322334004534,0.9084986605155407,0.625,0.08438113799947096,0.10875796564415274,0.18374243659495224
2,0.0,0.9968464324946079,0.8441030735031102,0.2916666666666667,0.2762139359195168,-0.15442791031250805,0.13124443041217151
2,0.01,0.9865524508755412,0.916863015262186,0.625,0.08070768160579005,0.7253637414695149,0.3090545743722193
2,0.03,0.9645485322614205,0.9014302020507271,0.5416666666666666,0.07537724116228339,0.6789066350424972,0.295571285273948
2,0.1,0.8891070133921941,0.9242543815596062,0.6666666666666666,0.06248529076512277,0.8460835070809105,0.25977636318135433
2,0.3,0.7149808339313427,0.9126606448747846,0.6666666666666666,0.08299878949526687,0.5731596453448686,0.21934281844895068
2,1.0,0.33559833899962377,0.917727636067046,0.5833333333333334,0.08209600778581931,0.17318663938426462,0.18780772312591787
